name,size,desc_code,OBJECTID,TA12,NAME_2,Shape_Leng,Shape_Area,icon_url
Ngamatapouri,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Oeo,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Otakeho,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Kaupokonui,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Auroa,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Manaia,"6",POPL,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Inaha,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Okaiawa,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Kaupokonui Stream,"7",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Kapuni,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Matapu,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Normanby,"6",POPL,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Waingongoro River,"7",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Te Roti,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Ararata,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Lake Rotorangi,"7",LAKE,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Mokoia,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Manutahi,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Alton,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Hurleyville,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Patea River,"7",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Whenuakura River,"7",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
PATEA,"6",POPL,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Kakaramea,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Waitotara,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Whenuakura,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
WAVERLEY,"6",POPL,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Opaku,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Kohi,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Ngutuwera,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Orangimea,"5",LOC,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
Waitotara River,"8",STRM,2,"035",South Taranaki District,374865.351632558566052,3575099727.535264968872070,
